WorkerId,AssignmentId,BonusAmount,UniqueRequestToken,Reason
A1MKEILXWWLBW2,3IO1LGZLKG9OKDSMK3KC7P5CX2N869,1,264699179,Thank you for joining our study on 2023-05-02
A1ZDR2UN7M92LI,31EUONYN22FCKVU3SSHGG3BBTZPOVO,14.97,-1137636034,Thank you for joining our study on 2023-05-05
AJTLLYV8O5FQU,37WLF8U1WW28FEUNTSHFXUE3S196KG,1,1347144723,Thank you for joining our study on 2023-05-05
A2GDXQGEQT8RJJ,3483FV8BELVDYYQX4MBBXYS9B1S62Z,13.65,2104833793,Thank you for joining our study on 2023-05-05
A143XRCI1YXAFE,3LJ7UR74ROPV8XBC7HGGSOBTQ4HN4O,15.57,256624282,Thank you for joining our study on 2023-05-01
A1OM5NWYYYJKQW,3907X2AHF7HL8482JIAK3YJQ66AP2G,14.87,2007311951,Thank you for joining our study on 2023-05-05
A19L3KRSSCDEEH,3YW4XOSQKXXRBOY2H0908LWKMG11UI,17.95,-981838036,Thank you for joining our study on 2023-05-02
AIOOOO5OXWXKM,34PGFRQONVNBY93B2PU7U9D31EVJWO,13.56,-713785931,Thank you for joining our study on 2023-05-02
ALCPF5NANBDSZ,3HPZF4IVNT5SF0S57YV9S2LOM2IYCK,15.07,1091690744,Thank you for joining our study on 2023-05-01
A2H1RXUC8XNNIW,3RSDURM96HY7CYCJ3P14IQLR7ASEYI,16.95,-984210920,Thank you for joining our study on 2023-05-02
A209V2VHLLQ59W,37KGEN7NJA2H0B98LGLWZBRJKHRPPX,12.67,681266668,Thank you for joining our study on 2023-05-08
A2HHA9EDBXOU7P,3H7Z272LXEJR9QUATOSPIUIZC35LPZ,16.95,1839225721,Thank you for joining our study on 2023-05-02
A1NXBW66PXIKZJ,32VNZTT0AEGGNV340OXX18G3RZ0R46,11.49,-1638556149,Thank you for joining our study on 2023-05-08
A1XSX19SIQ9U4W,30JNVC0ORGWAN6CZ2GSGQ7F20JLHQK,13.61,-738268511,Thank you for joining our study on 2023-05-02
A2VNR6984SDFGQ,3WRFBPLXRH0AQ1S873BXIJJNC4G3NE,1,-1478612586,Thank you for joining our study on 2023-05-05
A1A6UVH1CCP8CD,32M8BPYGA0YJ6CT5525PW5CFUAWGIO,14.37,1309795543,Thank you for joining our study on 2023-05-05
A16Q3MHTM4E825,3M23Y66PO9J63X7VY1QHOG5D9RZS6O,1,-1564523063,Thank you for joining our study on 2023-05-01
A1PRD9YPNCBEPB,36PW28KO4686GGEGNJNOF43K4J9EAS,1,2118599684,Thank you for joining our study on 2023-05-02
AMA18W8F60Y2J,3DIP6YHAPJ4SXSL1QL3AJDXPER38E4,1,755806064,Thank you for joining our study on 2023-05-08
A52DULPJTPRFF,3OLQQLKKNZ1HH9HKHP018363U22EJZ,1,790331386,Thank you for joining our study on 2023-05-01
A30N7QXF4W4VCM,3LS2AMNW5M2KFNYM6TN6AGC3EOJQO5,1,439314178,Thank you for joining our study on 2023-05-01
A240OTT1T85UGT,3DYGAII7PSK20NANLT0LZGHTKQJPQF,14.06,226980892,Thank you for joining our study on 2023-05-02
A1DCKRRPA4AWVD,3300DTYQT9TY3WLXCFKA54IP7Q4EQL,15.2,218528038,Thank you for joining our study on 2023-05-01
ARPBDM5QZ4XQC,3L4PIM1GQ0SWL2HOPVL4HXKALO8RYB,15.7,-2125102813,Thank you for joining our study on 2023-05-01
A5P12YJP805RG,3STRJBFXO33EHC5ZP5P8846HANATKU,11.69,-1879775092,Thank you for joining our study on 2023-05-02
AYYSG3O9FNU15,34YB12FSQ5052VJWQH3HOYJW9YHMG3,11.69,1127747909,Thank you for joining our study on 2023-05-02
A11LSO6D7BMY99,3DHE4R9OC3NFVRF3GZKX9P5Y40N2GU,1,-1618077209,Thank you for joining our study on 2023-05-01
A357L4U9MVKAW0,3TMFV4NEPFQMES7SBLXG5J4PJGVW8Z,14.06,-1767096236,Thank you for joining our study on 2023-05-02
A2PZ8MVVT6TQJM,31T4R4OBOZS90GW4KP59FP1RGHQC74,13.97,932816849,Thank you for joining our study on 2023-05-05
AE1YA7Q3UKPRI,3SNVL38CIB4XVV3O3JUIJU6DM14KCW,15.62,-1546637207,Thank you for joining our study on 2023-05-02
A25N0K40JAZTN1,3VJ40NV2QPZX73QENXH1FLNQUSGOT5,14.64,-1613190543,Thank you for joining our study on 2023-05-02
A2A7R0WEEFC3OX,3JRJSWSMQOX6WVFVE48ESWPE0VV3E9,1,-1267330129,Thank you for joining our study on 2023-05-08
A3HVFSD8K94SOR,3DZQRBDBSSR76EKDFZSJHDTTYVY3SJ,1,1425256365,Thank you for joining our study on 2023-05-02
A1UOIJJQTPB7M5,3R3YRB5GRMFN5CB2DJ2TJMPNP53UAK,12.87,2071857287,Thank you for joining our study on 2023-05-02
AVKMFV9CZ0MLR,3RGU30DZTHKFTX9XYNOKLBBC494MJI,13.04,-154103544,Thank you for joining our study on 2023-05-02
A1QUDNLO95AKS5,3JWH6J9I9ZPFTWWLMWQ302HZXCKNB9,1,1284961483,Thank you for joining our study on 2023-05-08
A1TNICCDSHTUXS,3PJUZCGDJDSB2WUKIANORZWEKF289C,1,-1428898863,Thank you for joining our study on 2023-05-01
A31898LQJO7I3,3IO1LGZLKG9OKDSMK3KC7P5CU3S68B,10.13,-898194854,Thank you for joining our study on 2023-05-01
A2OVX9UW5WANQE,3Z7ISHFUH77Q8NCXM8HN4NY7Z7P8Z4,12.77,-1779921024,Thank you for joining our study on 2023-05-08
AYVBT8JW88HYX,3FDJT1UU7BKCWAU9O97A5O03T8BK5S,1,-1642156307,Thank you for joining our study on 2023-05-01
AZVXDKQLJOSIB,3UXUOQ9OKL9L71Z60B9I9UB3F3RA7Z,1,1083075141,Thank you for joining our study on 2023-05-01
A1PTK745LEZ0QB,3O7L7BFSHL1LMYXEZ7F1W2R3EY3EIW,1,-353991811,Thank you for joining our study on 2023-05-02
A2ML0070M8FDK1,39LOEL67OZHPNU5411ME0MTSKDC83V,1,532907156,Thank you for joining our study on 2023-05-02
A1IXQS0AB02CPA,3DI28L7YXHQAMS1GR0UV43AHXW4E1G,1,-1709385180,Thank you for joining our study on 2023-05-08
A2B2HQHFBYLTXU,351SEKWQS7T2QB95OR29IDGZVV1DMX,1,1678465574,Thank you for joining our study on 2023-05-08
AHYTT3T8W9Y9Y,3IAS3U3I0MSJ4A7S0DSJ8EE1M68B2Z,1,-1858060818,Thank you for joining our study on 2023-05-02
ADC4VXNQJ9FEW,3QAVNHZ3ETGKMMO845ASSZT4APGLA7,1,-1531577780,Thank you for joining our study on 2023-05-02
A2VX8B1CJXRN2,3TXD01ZLDBT83NVL4IS26J3NV754U3,13.77,1701035963,Thank you for joining our study on 2023-05-08
A714FAI9LIUO6,3OONKJ5DKJVXBHWXNBQGFRH4NK0BOJ,1,-1812099401,Thank you for joining our study on 2023-05-02
A324VBRLXHG5IB,3GS6S824SX97HZUWHNMZNGUK7BPWNH,1,-1710719411,Thank you for joining our study on 2023-05-02
AFC9Q2YBBESIP,36H9ULYP6969NNHGC0K7QLR4I0TFJ2,1,1512378157,Thank you for joining our study on 2023-05-01
ACKG8OU1KHKO2,3U5NZHP4LYEPNUBK23DRQ2PSHC9PHB,14.64,1804473884,Thank you for joining our study on 2023-05-02
A2CUV1C52AWOBP,38JBBYETQVMRERYZEIDX21HKGLJE4F,12.15,107827876,Thank you for joining our study on 2023-05-05
AW6E36D5Z04G6,3K2755HG5ZFWK1HO24YWNNWQ38LDFJ,14.2,-1323304657,Thank you for joining our study on 2023-05-01
A14E0Y5HPALKZN,3W8CV64QJ9B4V7VDLEHU4CPDRBK9HE,17.45,780553245,Thank you for joining our study on 2023-05-02
A2S00V7RUU121E,3B837J3LDV8ZPG5FQPTFZBW98YDRSS,11.8,-816343136,Thank you for joining our study on 2023-05-02
A1CJQPIKK52SHS,3YGXWBAF77TCHTELIR72CDHHVJ8C46,1,782459370,Thank you for joining our study on 2023-05-02
A1C12FONNLWX56,3BEFOD78WD5PQFQCVG1GF9MUW7SM47,1,-234727796,Thank you for joining our study on 2023-05-01
AELFDOPFPTHT0,3RU7GD8VPV5ED3P0DXPQUGWU8TSSPV,14.62,2003343581,Thank you for joining our study on 2023-05-02
A1V02JOX9YXKF6,3PJ71Z61RBETRWAZJPE9CP96DHN917,1,-451889718,Thank you for joining our study on 2023-05-02
A3US4NGKXBVI48,38JBBYETQVMRERYZEIDX21HKD684EX,1,-1145248431,Thank you for joining our study on 2023-05-08
A23NOE8LDFM1AC,3XLBSAQ9ZBOM897EC3PHQN2CW8BZ7E,1,-353051808,Thank you for joining our study on 2023-05-08
A1OSBPDYPJU3BX,3Z4XG4ZF4F313SCILQT272IWSNYX80,1,-1179121632,Thank you for joining our study on 2023-05-01
A1GKD3NG1NNHRP,35K3O9HUAIP1C7VOYZ9GT5EB2U5FEG,1,1559315539,Thank you for joining our study on 2023-05-08
A23XR87ATML7A2,3PZDLQMM00X2EFZYEDOEJYKJ7P8C26,12.68,373398621,Thank you for joining our study on 2023-05-08
A237PUN7791D62,31UV0MXWNXOLQF4LO6MYS8LQ4A2I5A,1,1198944112,Thank you for joining our study on 2023-05-02
A18QU0YQB6Q8DF,3FPRZHYEP5JNY61H9UXOS0D0Y8MV3T,15.12,192770101,Thank you for joining our study on 2023-05-02
AFRYR0I0RA971,3VHP9MDGRUWMF9BA283L3HE8G4UCFT,13.41,-790957234,Thank you for joining our study on 2023-05-01
A2YTQDLACTLIBA,39K0FND3AOR4S46T4HB7SC8TCAIMAK,13.37,1596799456,Thank you for joining our study on 2023-05-05
AYTH0E5PUXWX8,3VELCLL3GRV2S61CMBE1MLVH9Y51F9,13.48,-218040905,Thank you for joining our study on 2023-05-05
A1RFQVHBKVN4TA,3U0SRXB7CKH293DAITCT0HM3IW9RNB,11.79,1707220253,Thank you for joining our study on 2023-05-02
A1ET2J1PIP0RGO,3IXQG4FA20AU4USRLM7YI1MFVKBB93,14.38,-1011595325,Thank you for joining our study on 2023-05-02
A2XVLENAJYX691,3WQQ9FUS6H6UQP9HGU1KI5R485IB8I,13.67,75693247,Thank you for joining our study on 2023-05-05
A3P7AXWF57BHNX,358UUM7WR6FD6ILN2MV44K0DLC67RB,10.25,-318655508,Thank you for joining our study on 2023-05-01
A2YEV7PXJ7IFTL,3MD9PLUKKPQBBUZ1SA66MKO2R69NZ3,13.61,336267716,Thank you for joining our study on 2023-05-02
A8ZUM922CBH6S,3PZDLQMM00X2EFZYEDOEJYKJ8TS2CP,11.8,1634277444,Thank you for joining our study on 2023-05-02
A185P3B2MC2K83,3NS0A6KXCBK512IF56TBW0F5R2NGZ5,14.97,-1625293175,Thank you for joining our study on 2023-05-05
A2APG8MSLJ6G2K,3MMN5BL1W6G48J78V2WX54UN7KZM32,9.83,-831663461,Thank you for joining our study on 2023-05-02
AA6YQ5K69SLRH,3QY7M81QHEYRJE8SC2M738EZNHOK7Y,1,2108514162,Thank you for joining our study on 2023-05-02
A3NXT3OVGL7QNR,3SUWZRL0M5P5TE2DX66CZZ1Y8AL6EG,1,1748456132,Thank you for joining our study on 2023-05-05
A1HMCTS0ZWDYSF,3II4UPYCOQJTBQ7XGK9QZM048UBQD9,11.4,1007633316,Thank you for joining our study on 2023-05-02
AVCOBHDVXZOZL,34V1S5K3GZDOYIBWPVQQ7L0NJZU968,1,-1200754463,Thank you for joining our study on 2023-05-01
A2X5TG8F0O662P,39PAAFCODTCSXNZBO93FADHYS81TVC,13.77,1306196078,Thank you for joining our study on 2023-05-08
A3G1HG9Q8M4UI5,3Q8GYXHFEWEUDCILWWQCH5NVT5LC57,1,1290717265,Thank you for joining our study on 2023-05-02
A6PPB69C6ZJHN,3HFNH7HEMOQWNAHOIAAY5731TWOQG8,14.14,-1702310571,Thank you for joining our study on 2023-05-02
A2CGULR0BMGYOR,33LK57MYL0H8R7R606NSLEY8MB6SZT,1,-611474106,Thank you for joining our study on 2023-05-02
A1O4TRWZO664V3,3SLE99ER0UP9ALA4PK1XVPO8AA8ZBP,12.17,-486591657,Thank you for joining our study on 2023-05-05
A1P8M5BKOTAA8I,3Y9N9SS8L5N14P1VI9XUME7TYTZ3D3,1,2111142881,Thank you for joining our study on 2023-05-08
A3OOD9IMOHPPFQ,3CTOC39K3E2W8U2AUHMV2TEM8F67JE,1,-1432323350,Thank you for joining our study on 2023-05-01
AWKP0M7G5BBCC,3BQU611VFWWBG1DUN2T2RVRPAIH99Z,13.61,28816553,Thank you for joining our study on 2023-05-02
A165PLFK2XUAB2,33FBRBDW6VBD0U1NUUXFTPXMR668C7,1,1367243565,Thank you for joining our study on 2023-05-01
ADU3XKPX6TTSA,3A7Y0R2P2V0QN981CUQTWSRA8TSJXW,1,-491827097,Thank you for joining our study on 2023-05-05
A1S88VQY8G8CNC,3ZY8KE4ISQFF577J759K586B53YVQX,15.12,-906227226,Thank you for joining our study on 2023-05-02
AD3V6XGQWRD6E,3WOKGM4L78SWRUTNPVTRVALL1J6O0O,14.62,-794868638,Thank you for joining our study on 2023-05-02
A9IPAROGKKDY9,33FOTY3KETXVPUH2V9O0EFAEO0DC1F,1,1577957339,Thank you for joining our study on 2023-05-05
A249M2F9FFNIK2,3DZQRBDBSSR76EKDFZSJHDTT6T9S3N,14.97,-129822897,Thank you for joining our study on 2023-05-05
A149BQE6Q6H4N2,3Q8GYXHFEWEUDCILWWQCH5NVXHC5CJ,6.56,-430205051,Thank you for joining our study on 2023-05-01
ABBP9JASL9AGK,3J2UYBXQQSO62ONJPZ7XEAZUOEH06E,14.7,371335617,Thank you for joining our study on 2023-05-01
A1B0NHZFC8G65T,3OVR4I9USWVGBUO4N98XWI6Y5T2Q4E,1,-474577277,Thank you for joining our study on 2023-05-02
A2IMJK03P2KAUZ,3DQQ64TANNX7KK69X2ZRR5ZFKR5PW0,1,1047607314,Thank you for joining our study on 2023-05-02
A2M183CETUMR96,3ZY8KE4ISQFF577J759K586CKUNVQL,12.85,904696625,Thank you for joining our study on 2023-05-02
A1KEA2Z47S3UPI,3OE22WJIGP0FSSIJ2FZF9M4T5IZUQ5,1,2015105032,Thank you for joining our study on 2023-05-02
A135S73MSNYHNJ,3E1QT0TDFWL4DXNNM4T14SVIHHR8I1,1,917759256,Thank you for joining our study on 2023-05-08
A3D0QOV2FWXY6J,3X87C8JFVDNZDFQFDA4FULM5KWZSQU,1,694511130,Thank you for joining our study on 2023-05-02
A2NX8I06A12P3I,3R2PKQ87N3KJYMPRG53K9AWDEWLIM1,12.87,-840876335,Thank you for joining our study on 2023-05-01
A1ICGFKGOZD98T,3UWN2HHPU5HEAIDNXICYQRRZ634SNO,1,675880029,Thank you for joining our study on 2023-05-02
A3QJJR5Y3XE92N,384PI804XZDBPMLGWCA0FFVMZFNS0I,1,-1496705432,Thank you for joining our study on 2023-05-02
A15VCKELIEEPJN,39O5D9O8704RZXVHID2J28PBGBE3CX,1,2012791015,Thank you for joining our study on 2023-05-02
A110BZSDZN7E16,39DD6S19JWN7HOMOZB3NWXUTFTKEZD,12.65,-1349956002,Thank you for joining our study on 2023-05-05
A5T9IFDZ3W4T6,3MRNMEIQWCIIKTRKOF1UI01A19KDLC,13.77,-1750688088,Thank you for joining our study on 2023-05-08
AMI4OR8CUAIED,3WYGZ5XF33RD2CSK05KIYZAVDYPKSI,11.69,-763334381,Thank you for joining our study on 2023-05-02
A173A97OFDAX9F,3EICBYG64B82KBX6LYU6IF60F7VCJE,11.48,-1531604896,Thank you for joining our study on 2023-05-08
A1PKY403GQT5BN,3STRJBFXO33EHC5ZP5P8846HMHXTKH,11.48,1654991586,Thank you for joining our study on 2023-05-08
A2W582HH1EJ7QT,3WETL7AQW0K60CM233FBO2J1OLH53Y,11.49,937777103,Thank you for joining our study on 2023-05-08
A1Q56N80RJLQ7S,3BC8WZX3VA8NO152B0TA91RDMJURRE,1,991360025,Thank you for joining our study on 2023-05-02
AC5UD8N187QD6,3LPW2N6LK0EQZ6ZLINBCBB91ZNY5UF,15.39,1149542285,Thank you for joining our study on 2023-05-08
A1JH50STB9BOB6,354P56DE9RFP7XL0HBV9UU594BV7SW,1,1376472061,Thank you for joining our study on 2023-05-01
A32TG2LFDHYDHK,3ITXP059P3VIRSM2IKK6XKAIV4PJS5,1,44214727,Thank you for joining our study on 2023-05-02
A361EVMLK9O0G1,3J88R45B2NAM9KBZ77VDTODMHTXXPB,1,104282801,Thank you for joining our study on 2023-05-01
A3LIWYL7O69H7E,3HL8HNGX4CDKHB47QOTU1RD0A5A9F0,12.3,944696700,Thank you for joining our study on 2023-05-02
A1UPJ6S46IUUJP,3HUTX6F6V1Z3N4W14IX5EYE0W1B2O9,16.95,-1291014259,Thank you for joining our study on 2023-05-02
A1PLQGQ95NICAF,33CID5710B5K21PNVQVI5RFY8AAL3R,1,-361190114,Thank you for joining our study on 2023-05-02
A12HZGOZQD5YK7,3DQQ64TANNX7KK69X2ZRR5ZFBB3WP0,1,-1338461923,Thank you for joining our study on 2023-05-02
A22U2NLCZ0GHZA,3LRLIPTPEXL92G6QJ5YRDZGPOLDAKQ,1,-254120089,Thank you for joining our study on 2023-05-08
A1YVDI67M8KZHI,3Q8GYXHFEWEUDCILWWQCH5NVRVJC5J,1,170162986,Thank you for joining our study on 2023-05-02
AK81F0NOBFJS3,3YMTUJH0DZST3AGW4D2S1NHLFNYT4S,11.98,-1539157638,Thank you for joining our study on 2023-05-08
A2TVG2HLMKVMSL,3DQQ64TANNX7KK69X2ZRR5ZFBIZPW3,13.67,1523288274,Thank you for joining our study on 2023-05-08
A13CAAOJ5GP4UQ,3FDJT1UU7BKCWAU9O97A5O03T9V5KZ,1,479353640,Thank you for joining our study on 2023-05-01
A1YH304YEW06BV,3IJXV6UZ14VAV22JLDZ1V9QMTOPRIK,13.88,1527938793,Thank you for joining our study on 2023-05-02
APRZ7BR8C0ZMQ,3YW4XOSQKXXRBOY2H0908LWKJM81UY,14.7,-919344060,Thank you for joining our study on 2023-05-01
A3KD6OOML0Y916,3HMVI3QICQ48SXI7R16PB62XFDPY15,13.7,2080347686,Thank you for joining our study on 2023-05-01
A3EU8ENRH654SB,3A7Y0R2P2V0QN981CUQTWSRAAJVJXH,15.39,-848747535,Thank you for joining our study on 2023-05-08
A3RTW9UWYKSNWX,3M68NM076OJU2I7IJCQCY60HO6ZR6H,6.42,1505090916,Thank you for joining our study on 2023-05-15
A1WHJXYBN0BA8Q,3RKNTXVS3TAOOEHNYDBB6IRTSZNA41,7.84,-1510961520,Thank you for joining our study on 2023-05-15
A1B8GYI6D690QX,39LNWE0K4182BUU0P7U60KD6318IUP,1,-783700525,Thank you for joining our study on 2023-05-15
A2GO0EY5FW18AG,3TVSS0C0E8C5CCZGEJ8BWF0CZI6TWR,4.31,-691282938,Thank you for joining our study on 2023-05-15
A2NA6X1SON3KFH,32VNZTT0AEGGNV340OXX18G3R7UR4G,4.55,-503401313,Thank you for joining our study on 2023-05-15
A1IIF95II8FISQ,31JLPPHS216S8MSK8IBAX8JS2H13OF,2.23,1403725541,Thank you for joining our study on 2023-05-15
A2OQHS22ZOVQYE,3TPWUS5F8GDOQVX5SXDL7508BW4WC9,7.73,566478104,Thank you for joining our study on 2023-05-15
A3RCX3IQ8L6HHW,3MHW492WW7POKS9RFC23OZM6Y00MVZ,7.76,-2142787879,Thank you for joining our study on 2023-05-15
A24GY3MMDG63PB,3ZY8KE4ISQFF577J759K586B80XVQT,6.61,-1068973810,Thank you for joining our study on 2023-05-15
A2U8QOJRKUCTWG,3ON104KXQR8LVRKQZI73O7OKI75W4P,1,-1353368573,Thank you for joining our study on 2023-05-15
A1Z1ZCX1WDSL7P,3WETL7AQW0K60CM233FBO2J1INP352,1,1548257958,Thank you for joining our study on 2023-05-15
A27HVVLSZZ13XK,3CN4LGXD540PKWFQEJPR9490R2WY4P,4.52,-1878127812,Thank you for joining our study on 2023-05-15
A12NO2MNOIREXA,39OWYR0EPR3ZICCFY0LA086RGV3FYY,4.47,856091236,Thank you for joining our study on 2023-05-15
A1HKYY6XI2OHO1,3IKZ72A5BBS56D81RYCZJS8KILTFNS,7.68,130027671,Thank you for joining our study on 2023-05-15
A2LCFORIW0NF1S,36WLNQG786MBZQJ8TXNKAFNQM74BE6,4.53,-565747303,Thank you for joining our study on 2023-05-15
A4D99Y82KOLC8,3EJJQNKU9YHAZ7RZFVHGVXP70U5HRL,1,348728921,Thank you for joining our study on 2023-05-15
A1OPV8D0GG5Z32,3Q5C1WP23TDAQ98NGZ1S0944RYW51U,4.5,1634581729,Thank you for joining our study on 2023-05-15
A22VM7OOJO7JXM,3AAPLD8UCJTNFM4RJKMBVCQPOQGHTY,7.91,-1332434710,Thank you for joining our study on 2023-05-15
